name,address,price,review_score,review_count,Vị trí,Dịch vụ,Đáng giá tiền,Cơ sở vật chất,Độ sạch sẽ,host_review_score,bep,bua_sang,san_gon,may_giat,dua_don_san_bay,phong_tap,don_phong_hang_ngay,duoc_phep_mang_thu_nuoi,bai_do_xe,Giá trước,Giá sau
Khách sạn Minh Anh Gò Vấp (Khách sạn Minh Anh Gò Vấp ),"No. 65, Street No. 1, Thong Nhat, Ward 11, Go Vap, Ho Chi Minh City, Gò Vấp, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"8,3",150,8.9,9.3,9.0,8.4,8.6,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,1,Không có giá trước,462.963
Vinhome Grand Park HCM,"Vinhome Grand Park. 512 Nguyen Xien str., Long Thanh My ward , Thu Duc city, Ho Chi Minh city, Quận 9, Hồ Chí Minh, Việt Nam",Không có giá,"7,8",213,8.1,8.3,8.0,7.9,8.1,Không có đánh giá chủ nhà,1,0,0,0,0,1,0,1,1,392.808,275.735
Hotel Trung Mai,"15 Truong Hoang Thanh Str., Tân Bình, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"7,6",33,2.0,2.0,2.0,2.0,2.0,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,1,708.468,421.883
KHÁCH SẠN LA VELA SÀI GÒN (LA VELA SAIGON HOTEL),"Nam Kỳ Khởi Nghĩa, Quận 3, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"8,9",25022,8.9,9.2,9.0,9.2,9.2,Không có đánh giá chủ nhà,1,1,1,0,1,1,1,1,1,Không có giá trước,Không có giá sau
Cozrum Homes - Sonata Residence,"No. 41, Nguyen Thi Thap, Tan Phu Ward, District 7, Quận 7, Hồ Chí Minh, Việt Nam",Không có giá,"7,3",5027,7.6,7.8,7.7,7.4,7.3,Không có đánh giá chủ nhà,1,1,1,0,0,1,1,1,1,2.000.000,782.739
Khách Sạn King Sài Gòn Sân Bay (King Hotel Saigon Airport),"25/22 Cuu Long Street, Ward 2 , Tan Binh District. Hcm City, Tân Bình, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"7,3",710,7.9,7.9,7.4,7.0,7.2,Không có đánh giá chủ nhà,1,1,0,0,1,0,1,1,1,Không có giá trước,697.726
Phong Lan 2 Hotel,"24A, Quang Trung, Phường Hiệp Phú, TP Thủ Đức, TPHCM, Quận 9, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"7,9",176,8.0,8.3,7.9,7.7,7.9,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,1,812.446,371.598
Start House Coliving,"B50 Bạch Đằng, Tân Bình, Hồ Chí Minh, Việt Nam, 72108",Không có giá,"8,5",633,8.6,9.0,8.2,8.0,8.5,Không có đánh giá chủ nhà,1,0,0,0,0,0,1,1,1,Không có giá trước,207.407
GOLDEN SUN 3 APARTMENTS,"63 Đ. Phan Khiêm Ích, Tân Phong, GOLDEN SUN 3 APARTMENTS, Quận 7, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"8,2",97,9.1,8.9,8.6,7.6,8.0,Không có đánh giá chủ nhà,1,0,0,0,0,0,1,1,1,900.000,677.877
Khách sạn Hà My (Ha My Hotel),"32 đường số 6, phường Linh Trung, quận Thủ Đức, thành phố Hồ Chí Minh (gần trường ĐH Ngân Hàng trên đường Hoàng Diệu 2), Thủ Đức, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"8,0",397,8.4,8.2,8.2,7.9,8.2,Không có đánh giá chủ nhà,1,0,0,0,0,0,1,1,1,361.357,302.007
Khách Sạn Blue Airport (The Blue Airport Hotel),"2/37 Phan Thuc Duyen, Ward 4, Tan Binh Dist, Tân Bình, Hồ Chí Minh, Việt Nam, 70000",Không có giá,"7,1",1709,7.5,7.3,7.1,6.8,7.3,Không có đánh giá chủ nhà,0,0,0,0,0,1,1,1,1,Không có giá trước,749.559
SKY STAR HOTEL,"No. 33, Street No. 21, Ward 8, Go Vap District, Ho Chi Minh City, Vietnam, Gò Vấp, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"8,3",216,8.7,9.0,8.5,8.6,8.8,Không có đánh giá chủ nhà,1,0,1,0,1,0,1,1,1,1.551.818,615.841
Khách Sạn & Căn Hộ T-Ritz Sài Gòn (T-Ritz Saigon Hotel & Apartment),"20 - 22 Phạm Ngọc Thạch, Quận 3, Thành phố Hồ Chí Minh, Việt Nam, Quận 3, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"8,8",3856,8.8,8.8,8.8,8.4,9.2,Không có đánh giá chủ nhà,1,1,1,0,1,1,1,1,1,Không có giá trước,6.137.566
TalaSaiGon Hotel,"36 Yên Thế, Phường 2, Tân Bình, Hồ Chí Minh, Việt Nam, 70000",Không có giá,"9,0",139,9.6,9.7,9.6,9.5,9.7,Không có đánh giá chủ nhà,0,0,0,0,1,0,1,1,1,1.824.845,560.858
Khách sạn LOTTE Sài Gòn (LOTTE HOTEL SAIGON),"2A-4A Tôn Đức Thắng, Quận 1, Quận 1, Hồ Chí Minh, Việt Nam,",Không có giá,"9,0",9260,9.0,9.3,8.9,9.0,9.3,Không có đánh giá chủ nhà,1,1,0,0,1,1,1,1,1,Không có giá trước,Không có giá sau
MDHOTEL 2,"105/16 Nguyen Thi Tu Street, Binh Hung Hoa B Ward, Binh Tan District, Ho Chi Minh City, V, Bình Tân, Hồ Chí Minh, Việt Nam, 71900",Không có giá,"7,3",373,7.9,8.0,8.1,7.5,7.8,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,1,384.023,296.296
Khách Sạn Trần Long,"50 Đường Nguyễn Thị Nhuần, Quận 12, Hồ Chí Minh, Việt Nam",Không có giá,"6,6",12,7.3,7.3,8.7,7.3,9.3,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,0,296.070,244.504
Loove Hotel - Khách Sạn Tình Yêu,"LOOVE HOTEL 2, No. 18, Pham Cong Tru Street, Thanh My Loi Ward, Thu Duc City, Ho Chi Minh City, Quận 2, Hồ Chí Minh, Việt Nam, 70000",Không có giá,"8,0",312,7.8,8.7,8.6,8.2,8.4,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,1,925.256,297.025
Cozrum Homes - Cozytel Residence,"No. 16A, 5/257 Lê Đình Cẩn, Tan Tao Ward, Binh Tan District, Ho Chi Minh City, Bình Tân, Hồ Chí Minh, Việt Nam",Không có giá,"8,0",417,7.9,8.0,8.7,8.5,8.9,Không có đánh giá chủ nhà,0,0,0,1,0,0,1,1,1,1.111.800,395.132
OYO 752 Mặt Trời Vàng (OYO 752 Mat Troi Vang),"44/12 Vuon Lai, Phuong Tan Thanh, Quan Tan Phu, Thanh pho Ho Chi Minh Vietnam, Tân Phú, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"5,5",41,3.3,5.0,3.5,3.0,2.7,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,1,Không có giá trước,234.667
Khách Sạn OYO 616 Cường Thanh 1 (OYO 616 Cuong Thanh 1 Hotel),"42/2, Tran Thien Chanh, Phuong 12, Quan 10, Ho Chi Minh, Quận 10, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"7,8",17,8.0,8.4,8.3,7.5,7.9,Không có đánh giá chủ nhà,0,0,0,0,0,1,1,1,1,Không có giá trước,870.370
The Lumiere,"9 Lê Văn Huân, phường 13, Tân Bình, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"7,9",878,8.3,8.0,8.1,7.7,7.9,Không có đánh giá chủ nhà,1,1,0,0,0,0,0,1,1,Không có giá trước,775.999
Căn hộ SpringHill - The High Class (SpringHill Apartment - The High Class),"31 Hung Gia 3, Tan Phong, District 7, Ho Chi Minh, Quận 7, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"8,3",1110,8.7,8.5,8.4,8.3,8.3,Không có đánh giá chủ nhà,1,1,1,1,1,0,1,1,1,779.993,476.584
Khách sạn Hạ Long (Ha Long Hotel),"76 L Văn Ch , Thủ Đức, Hồ Chí Minh, Việt Nam, 720300",Không có giá,"8,5",253,Không có,Không có,Không có,Không có,Không có,Không có đánh giá chủ nhà,1,1,0,0,1,0,1,1,1,366.458,357.714
Signature by M Village Lê Thánh Tôn,"24 Le Thanh Ton street, Ben Nghe ward, District 1, Quận 1, Hồ Chí Minh, Việt Nam, 7000",Không có giá,"9,0",5399,9.5,9.5,9.1,8.9,9.4,Không có đánh giá chủ nhà,1,1,0,1,1,1,1,1,0,Không có giá trước,Không có giá sau
Khách Sạn Mi Linh (Mi Linh Hotel),"B38A Bạch Đằng, Phường 02, Quận Tân Bình , Tân Bình, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"7,2",2992,8.0,7.5,7.6,6.1,6.6,Không có đánh giá chủ nhà,1,1,0,0,1,0,1,1,1,Không có giá trước,328.926
La Casa di Dicembre HCMC,"2 Trường Sa, Phường 17, Bình Thạnh, Hồ Chí Minh, Việt Nam",Không có giá,"9,0",264,9.2,9.8,9.6,9.3,9.5,Không có đánh giá chủ nhà,1,0,0,0,0,0,1,1,1,Không có giá trước,8.707.760
KHÁCH SẠN SÂN BAY GALAXY (GALAXY AIRPORT HOTEL),"38/6 Lam sơn,Phường 2, Quận Tân Bình,TP.Hồ Chí Minh, Tân Bình, Hồ Chí Minh, Việt Nam, 70000",Không có giá,"8,5",666,8.9,9.0,8.7,8.2,8.8,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,1,750.000,430.561
Belvilla Comfort Stays Near SECC formerly Cozy Hotel,"R4 54, Hung Gia 2, Tan Phong, Quan 7, Thanh pho Ho Chi Minh, Viet Nam, Ho-Chi-Minh, Ho-Chi-Minh, Quận 7, Hồ Chí Minh, Việt Nam, 550000",Không có giá,"8,0",9,7.7,8.7,8.7,7.3,7.3,Không có đánh giá chủ nhà,1,0,0,0,0,0,1,1,1,Không có giá trước,Không có giá sau
THANH TAI HOTEL 1,"Số 17 đường Trần Thái Tông, phường 15, Tân Bình, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"8,5",1869,8.5,8.9,8.9,8.6,8.7,Không có đánh giá chủ nhà,1,1,0,0,0,1,1,1,1,Không có giá trước,1.452.433
Townhouse District 10 Near Children Hospital 1 Formerly Cuong Thanh 3 Hotel,"252/43-45 Cao Thang, Phuong 12, Quan 10, Ho Chi Minhnullnull, Ho-Chi-Minh, Quận 10, Hồ Chí Minh, Việt Nam, 550000",Không có giá,"7,8",61,7.7,8.3,8.0,8.2,7.7,Không có đánh giá chủ nhà,1,0,0,0,0,0,1,1,1,Không có giá trước,1.584.835
Khách sạn sân bay Prague Sài Gòn (Prague Airport Hotel),"157 Bach Dang, Tân Bình, Hồ Chí Minh, Việt Nam, 70000",Không có giá,"8,8",1080,9.1,9.3,8.9,8.6,9.2,Không có đánh giá chủ nhà,0,0,1,0,0,1,1,1,1,1.300.000,738.430
Chotel Ben Thanh,"21B, Bui Thi Xuan, Phuong Ben Thanh, Quan 1, Quận 1, Hồ Chí Minh, Việt Nam, 000000",Không có giá,"8,4",7117,8.9,8.8,8.6,7.8,8.5,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,1,1.567.673,1.291.518
Tan Thanh Cong Hotel,"117 Trần Bình Trọng, Quận 5, Quận 5, Hồ Chí Minh, Việt Nam",Không có giá,"7,4",48,7.2,7.3,7.7,6.4,7.2,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,1,Không có giá trước,1.342.593
Rex Hotel Saigon,"141 Đại lộ Nguyễn Huệ, Quận 1, Quận 1, Hồ Chí Minh, Việt Nam, 701000",Không có giá,"8,5",8069,9.5,8.6,8.1,8.2,8.7,Không có đánh giá chủ nhà,1,1,1,0,1,1,1,1,1,Không có giá trước,Không có giá sau
Khách sạn La Cigale (La Cigale Hotel),"37-39 Hung Gia 1, Phu My Hung, Quận 7, Hồ Chí Minh, Việt Nam",Không có giá,"8,5",994,8.7,8.9,8.9,8.1,8.9,Không có đánh giá chủ nhà,1,0,0,1,0,0,1,1,1,Không có giá trước,Không có giá sau
Khách sạn Sân Bay Havana Collection O (Collection O Havana Airport Hotel),"Cuu Long, Phuong 2, Quan Tan Binh, Thanh Pho Ho Chi Minh, Viet Nam, Ho-Chi-Minh, Tân Bình, Hồ Chí Minh, Việt Nam, 70000",Không có giá,"7,1",1206,7.8,7.3,7.2,6.8,7.1,Không có đánh giá chủ nhà,0,1,0,1,0,0,1,1,1,2.048.559,901.161
Khách sạn Như Ý (Nhu Y Hotel),"No. 185, Street No. 16, Binh Tan District, Ho Chi Minh City, Bình Tân, Hồ Chí Minh, Việt Nam, 70000 – 74000",Không có giá,"8,1",402,8.3,8.6,8.3,7.8,8.2,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,1,600.000,337.639
Alleyway Home,"162/7 Bui Thi Xuan, Pham Ngu Lao Ward, District 1, Quận 1, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"6,0",597,6.6,6.6,6.1,5.7,5.8,Không có đánh giá chủ nhà,0,1,0,1,1,1,1,1,1,1.632.136,1.629.167
Thành Vinh Hotel & Apartment,"562 Song Hành Xa Lộ Hà Nội, Quận 9, Hồ Chí Minh, Việt Nam, 70000",Không có giá,"8,2",584,8.6,9.2,8.7,8.3,8.6,Không có đánh giá chủ nhà,1,0,0,0,1,0,1,1,1,910.784,495.025
Sumi Hotel Saigon,"139 Duong so 8, phuong 11, Go Vap, TP. Ho Chi Minh, Gò Vấp, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"8,1",91,8.4,8.7,8.3,8.1,8.2,Không có đánh giá chủ nhà,0,0,0,0,1,0,0,1,1,491.714,305.782
Khách sạn Thanh Hồng (Khach San Thanh Hong),"No. 19, Xuân Diệu, Ward 4, Tân Bình District, Ho Chi Minh City, Tân Bình, Hồ Chí Minh, Việt Nam",Không có giá,"7,4",62,7.7,7.9,7.6,7.5,7.7,Không có đánh giá chủ nhà,0,0,0,0,0,0,0,1,1,398.599,274.167
Thanh Bình 2 Hotel (Thanh Binh 2 Hotel),"93 Đường Bờ Bao Tân Thắng, Tân Phú, Hồ Chí Minh, Việt Nam",Không có giá,"8,8",25,7.8,8.4,8.1,7.8,8.1,Không có đánh giá chủ nhà,0,0,0,0,0,0,0,1,1,Không có giá trước,277.778
Montana Hotel & Apartment Saigon Airport,"51B Hồng Hà, Phường 2, Montana Building, Tân Bình, Hồ Chí Minh, Việt Nam, 70000",Không có giá,"8,0",244,9.0,8.6,8.5,8.0,8.3,Không có đánh giá chủ nhà,0,0,0,0,1,1,1,1,1,983.470,780.078
Hoang Long Son 2 Hotel,"14,16,18 đường số 7, phường An Phú, quận 02, Tp Hồ Chí Minh, Quận 2, Hồ Chí Minh, Việt Nam, 70000",Không có giá,"7,7",382,7.7,8.1,7.7,7.1,7.4,Không có đánh giá chủ nhà,0,0,0,0,0,0,0,1,1,Không có giá trước,251.481
Khách sạn Hoa Đệ Nhất (Hoa De Nhat Hotel),"4/1/9-4/1/11 Hoàng Việt, Phường 4, Quận Tân Bình, Tân Bình, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"7,0",481,7.5,7.4,7.2,6.7,7.0,Không có đánh giá chủ nhà,1,1,0,0,1,0,1,1,1,982.511,752.999
Green Riverside Hotel & Apartment,"89/21A Phan Huy Ich, Phuong 15 , Tân Bình, Hồ Chí Minh, Việt Nam, 72100",Không có giá,"8,7",117,8.8,9.3,8.9,8.7,8.6,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,1,1.931.708,500.458
KHÁCH SẠN PRINCE (PRINCE HOTEL),"60, 21 Street, Ward 8, Go Vap District, Gò Vấp, Hồ Chí Minh, Việt Nam, 70000",Không có giá,"8,2",139,8.7,8.9,8.4,8.2,8.4,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,1,723.714,569.296
Ramana Saigon Hotel,"323 L Văn Sỹ, Quận 3 , Quận 3, Hồ Chí Minh, Việt Nam,",Không có giá,"8,1",2528,8.1,8.3,8.2,8.0,8.2,Không có đánh giá chủ nhà,1,1,0,0,1,1,0,1,1,3.073.920,1.005.531
Nam Anh 3 Hotel,"61 Bàu Cát, Phường 14, Tân Bình, Hồ Chí Minh, Việt Nam",Không có giá,"7,0",38,7.1,7.5,6.6,6.2,6.6,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,1,502.841,463.426
Yen Nam Hotel Nguyen Thai Son,"84/1, Street 1, Ward 4, Go Vap District, HCM City., Gò Vấp, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"8,6",668,8.8,9.1,9.0,8.9,9.1,Không có đánh giá chủ nhà,1,0,0,0,0,0,1,1,0,828.101,582.303
Vinhomes Landmark 81,"Vinhome Central Park, 208 Nguyen Huu Canh, Binh Thanh, Bình Thạnh, Hồ Chí Minh, Việt Nam",Không có giá,"8,0",81,9.1,8.7,8.6,8.1,8.5,Không có đánh giá chủ nhà,1,0,1,1,1,1,1,1,1,Không có giá trước,10.300.000
Khu căn hộ cao cấp Sherwood Residence (Sherwood Residence),"127 Pasteur, Quận 3 , Quận 3, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"9,1",4978,8.9,9.3,9.2,9.1,9.3,Không có đánh giá chủ nhà,1,1,0,1,1,1,1,1,0,Không có giá trước,Không có giá sau
Khách sạn 175 (Hotel 175 Saigon),"786B Nguyễn Kiệm, Phường 3, Quận Gò Vấp, Tp.HCM, Gò Vấp, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"7,5",341,7.9,7.9,7.6,7.1,7.4,Không có đánh giá chủ nhà,0,1,0,0,0,0,1,1,1,Không có giá trước,1.827.256
Eros Hotel _Phan Huy Ích,"Phan Huy Ich, No. 8, Lane 331, Ward 14, Go Vap, 331/8 phường 14, Gò Vấp, Hồ Chí Minh, Việt Nam, 71418",Không có giá,"7,7",52,8.5,8.8,8.6,8.5,8.4,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,1,Không có giá trước,Không có giá sau
THE QUEENDOR BOUTIQUE HOTEL,"2 Quách Văn Tuấn, Tân Bình, Hồ Chí Minh, Việt Nam, 70000",Không có giá,"8,3",718,8.7,8.8,8.4,8.0,8.5,Không có đánh giá chủ nhà,1,1,1,0,1,1,1,1,1,1.085.719,1.064.389
RUBY STAR HOTEL,"43 Trương Định, Quận 3, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"7,7",521,8.6,8.2,8.1,7.7,7.9,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,1,Không có giá trước,5.555.556
Khách sạn Như Huỳnh (Nhu Huynh Hotel),"183, 183 Song Hanh, Phuong 10, Quan 6, Ho-Chi-Minh, Quận 6, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"5,4",139,5.5,5.6,5.3,4.7,5.0,Không có đánh giá chủ nhà,0,0,0,0,1,0,0,1,1,255.813,240.046
Windsor Plaza Hotel,"18 An Dương Vương, Phường 9, Quận 5, Thành phố Hồ Chí Minh, Việt Nam, Quận 5, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"8,5",7823,8.3,8.7,8.5,8.5,8.8,Không có đánh giá chủ nhà,1,1,1,0,1,1,1,1,1,4.500.000,1.948.854
Hotel Như ý Biên Hòa (Hotel Nhu y Bien Hoa),"607 Huỳnh Văn Nghệ, Phường Bửu Long, Biên Hòa, Đồng Nai, Quận 3, Hồ Chí Minh, Việt Nam",Không có giá,"8,7",419,8.5,8.9,8.9,8.6,8.8,Không có đánh giá chủ nhà,1,1,0,0,0,0,1,1,1,326.870,300.000
Tahami Hotel Thu Duc,"1A Đ. D2, Thủ Đức, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"6,2",135,6.7,6.2,6.0,5.7,5.9,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,1,643.572,444.124
Cozrum Homes - Retro House,"The Alley 520 No 1 , Ng Gia Tự, Ward 09, District 5 , Quận 5, Hồ Chí Minh, Việt Nam, 08400001",Không có giá,"7,7",805,8.5,8.1,8.0,8.1,8.0,Không có đánh giá chủ nhà,1,0,0,0,0,0,0,1,1,Không có giá trước,Không có giá sau
Caravelle Saigon Hotel,"19-23 Công Trường Lam Sơn, Quận 1 , Quận 1, Hồ Chí Minh, Việt Nam,",Không có giá,"8,9",7660,9.5,9.0,8.5,8.8,9.1,Không có đánh giá chủ nhà,1,1,0,0,1,1,1,1,1,Không có giá trước,Không có giá sau
